Genere Anni Matematica Italiano Logica Test Totale CDL 
M 20 23.57 13.83 18.25 55.65 68.46 "MARKETING E GEST. IMPRESE"
F 19 9.8 7.59 9.81 27.2 68.48 "CONSULENZA AZ.LE E GIURIDICA"
M 20 23.13 19.15 18.24 60.52 68.61 "STAT. E INFORMATICA GEST. IMPRESE"
M 19 24.91 20.92 20.92 66.75 68.7 "MARKETING E GEST. IMPRESE"
F 19 24.45 8.47 23.57 56.49 68.8 "COMMERCIO ESTERO"
F 20 28.45 24.91 22.69 76.05 68.82 "ECONOMIA E FINANZA"
M 19 22.68 16.91 20.47 60.05 69.02 "ECONOMIA AZIENDALE"
F 20 19.13 14.71 6.71 40.55 69.02 "ECONOMIA AZIENDALE"
F 19 13.8 18.25 17.8 49.85 69.14 "MARKETING E GEST. IMPRESE"
F 20 29.79 11.57 26.68 68.04 69.22 "COMMERCIO ESTERO"
F 19 18.23 10.69 15.13 44.05 69.22 "ECONOMIA AZIENDALE"
F 19 17.35 19.57 22.24 59.16 69.26 "COMMERCIO ESTERO"
F 19 18.24 17.8 23.13 59.17 69.27 "COMMERCIO ESTERO"
F 19 30.67 15.15 8.91 54.72 69.29 "COMMERCIO ESTERO"
M 34 22.24 12.04 16.47 50.75 69.3 "STAT. E INFORMATICA GEST. IMPRESE"
M 20 27.56 11.57 11.16 50.29 69.32 "COMMERCIO ESTERO"
M 19 28.45 7.57 29.79 65.81 69.52 "STAT. E INFORMATICA GEST. IMPRESE"
M 19 28.45 7.57 29.79 65.81 69.52 "COMMERCIO ESTERO"
M 25 11.6 9.83 8.92 30.35 69.74 "ECONOMIA E FINANZA"
F 19 17.8 20.03 27.12 64.95 69.78 ECONOMIA
F 21 12.91 16.92 18.69 48.52 69.81 "COMMERCIO ESTERO"
F 19 24.89 15.57 23.13 63.6 69.84 "COMMERCIO ESTERO"
M 19 19.59 10.25 17.36 47.2 69.88 "STAT. E INFORMATICA GEST. IMPRESE"
F 19 16.01 13.8 10.24 40.05 70.02 "ECONOMIA AZIENDALE"
M 20 20.01 14.68 17.36 52.05 70.02 "ECONOMIA AZIENDALE"
M 20 25.35 8.91 20.92 55.17 70.07 "COMMERCIO ESTERO"
M 19 20.47 13.83 20.92 55.21 70.08 "STAT. E INFORMATICA GEST. IMPRESE"
F 19 12.93 23.13 17.81 53.88 70.15 "COMMERCIO ESTERO"
F 19 14.25 20.47 14.68 49.4 70.16 "ECONOMIA GEST. SERV. TURISTICI"
F 20 22.68 14.27 23.13 60.08 70.23 "COMMERCIO ESTERO"
F 19 25.35 14.24 16.03 55.61 70.24 "COMMERCIO ESTERO"
F 19 14.68 8.45 19.12 42.25 70.3 "ECONOMIA E FINANZA"
F 19 17.36 8.49 20.92 46.77 70.31 "COMMERCIO ESTERO"
M 20 27.12 18.69 28.01 73.83 70.33 "STAT. E INFORMATICA GEST. IMPRESE"
F 19 20.91 14.27 17.81 52.99 70.4 "COMMERCIO ESTERO"
M 19 13.79 18.69 16.01 48.49 70.4 "COMMERCIO ESTERO"
M 19 30.67 16.91 23.57 71.15 70.46 "ECONOMIA E FINANZA"
F 19 17.8 16.48 20.47 54.75 70.5 "ECONOMIA AZIENDALE"
M 19 21.8 21.36 22.69 65.85 70.74 "MARKETING E GEST. IMPRESE"
F 19 17.8 20.47 21.79 60.05 70.82 ECONOMIA
F 19 12.47 13.83 8.48 34.77 70.91 "COMMERCIO ESTERO"
F 19 21.8 19.15 8.91 49.85 70.94 "ECONOMIA E FINANZA"
M 32 16.92 19.15 9.35 45.41 70.96 "COMMERCIO ESTERO"
F 19 28 5.79 20.91 54.69 71.08 "COMMERCIO ESTERO"
M 19 16.01 19.57 2.67 38.25 71.1 ECONOMIA
M 19 15.15 17.8 11.6 44.55 71.22 "ECONOMIA AZIENDALE"
F 19 27.56 20.03 13.81 61.4 71.36 "MARKETING E GEST. IMPRESE"
F 19 25.79 24.01 5.79 55.59 71.44 "COMMERCIO ESTERO"
F 19 20.91 12.45 13.35 46.71 71.48 "COMMERCIO ESTERO"
F 19 14.25 19.13 16.47 49.85 71.54 "MARKETING E GEST. IMPRESE"
M 19 30.23 0.92 21.8 52.95 71.58 "MARKETING E GEST. IMPRESE"
F 19 12.91 15.13 16.03 44.07 71.63 "COMMERCIO ESTERO"
M 19 24.89 22.24 27.12 74.25 71.7 "ECONOMIA AZIENDALE"
M 19 4.89 18.25 13.8 36.95 71.78 "COMMERCIO ESTERO"
M 19 28.45 16.01 22.69 67.16 71.86 "COMMERCIO ESTERO"
M 19 23.13 16.48 23.13 62.75 71.9 "AMMINISTRAZIONE E CONTROLLO"
M 19 20.91 22.24 22.69 65.84 71.94 "STAT. E INFORMATICA GEST. IMPRESE"
M 19 18.68 15.15 23.12 56.95 71.98 "MARKETING E GEST. IMPRESE"
F 19 15.15 20.03 17.37 52.55 72.02 ECONOMIA
F 19 22.24 19.13 16.48 57.85 72.34 "MARKETING E GEST. IMPRESE"
M 19 26.23 5.35 11.57 43.15 72.46 "ECONOMIA AZIENDALE"
M 19 28 11.57 22.23 61.8 72.72 "ECONOMIA AZIENDALE"
M 19 23.12 17.8 20.91 61.83 72.73 "COMMERCIO ESTERO"
M 19 23.13 21.36 24.91 69.4 72.76 "COMMERCIO ESTERO"
F 19 24.45 21.8 -0.87 45.39 72.76 "COMMERCIO ESTERO"
F 19 14.25 15.59 16.01 45.85 72.94 "ECONOMIA AZIENDALE"
M 21 17.81 14.27 21.36 53.44 72.98 "COMMERCIO ESTERO"
F 19 11.59 18.25 21.36 51.2 73.28 "MARKETING E GEST. IMPRESE"
M 20 29.33 5.35 19.57 54.25 73.3 "COMMERCIO ESTERO"
M 20 29.33 5.35 19.57 54.25 73.3 "MARKETING E GEST. IMPRESE"
F 19 24.01 14.27 23.57 61.85 73.34 ECONOMIA
M 19 21.79 6.27 17.35 45.4 73.36 "ECONOMIA E FINANZA"
F 19 8.03 18.23 14.69 40.95 73.38 "ECONOMIA GEST. SERV. TURISTICI"
M 24 30.67 13.35 22.69 66.71 73.48 "COMMERCIO ESTERO"
M 19 25.79 15.59 22.68 64.05 73.62 "AMMINISTRAZIONE E CONTROLLO"
M 19 28.45 21.36 26.24 76.05 73.62 "MARKETING E GEST. IMPRESE"
F 19 12.89 5.8 27.56 46.25 73.7 "ECONOMIA GEST. SERV. TURISTICI"
F 19 12.01 19.15 25.79 56.95 73.78 "MARKETING E GEST. IMPRESE"
F 19 16.01 17.8 22.24 56.05 74.02 "MARKETING E GEST. IMPRESE"
F 19 8.92 26.68 25.35 60.95 74.18 "COMMERCIO ESTERO"
F 20 11.15 10.72 19.59 41.45 74.18 "ECONOMIA E FINANZA"
M 18 19.59 16.91 20.47 56.96 74.38 "COMMERCIO ESTERO"
F 19 17.36 15.6 22.69 55.65 74.46 "ECONOMIA AZIENDALE"
M 19 31.56 22.24 24.47 78.27 74.51 "COMMERCIO ESTERO"
F 20 12.45 22.69 14.68 49.83 74.53 "COMMERCIO ESTERO"
F 19 25.79 17.36 21.8 64.95 74.58 "ECONOMIA AZIENDALE"
F 19 11.15 16.03 20.03 47.2 74.68 "MARKETING E GEST. IMPRESE"
F 19 14.24 21.36 19.15 54.75 74.7 "COMMERCIO ESTERO"
M 21 18.24 13.81 21.35 53.4 74.76 "ECONOMIA E FINANZA"
F 19 25.79 16.91 21.35 64.04 74.82 "COMMERCIO ESTERO"
M 20 20.01 18.25 17.37 55.64 75.06 "STAT. E INFORMATICA GEST. IMPRESE"
M 20 20.01 18.25 17.37 55.64 75.06 "COMMERCIO ESTERO"
F 19 20.03 19.59 16.04 55.65 75.06 "MARKETING E GEST. IMPRESE"
M 19 33.33 19.15 22.69 75.17 75.07 "COMMERCIO ESTERO"
F 19 18.24 15.12 16.48 49.84 75.14 "COMMERCIO ESTERO"
M 20 24.91 14.24 30.23 69.37 75.15 "COMMERCIO ESTERO"
F 19 22.68 22.69 19.59 64.96 75.18 "COMMERCIO ESTERO"
F 19 17.36 15.6 12.91 45.87 75.35 "COMMERCIO ESTERO"
F 19 23.56 20.03 14.69 58.28 75.51 "COMMERCIO ESTERO"
F 19 23.57 20.03 26.68 70.28 75.51 "COMMERCIO ESTERO"
M 19 27.12 4.91 21.79 53.81 75.52 "STAT. E INFORMATICA GEST. IMPRESE"
F 19 20.47 11.16 16.48 48.11 75.64 "COMMERCIO ESTERO"
F 20 19.12 20.03 12.03 51.17 75.67 "COMMERCIO ESTERO"
F 19 14.68 20.03 15.15 49.85 75.74 "MARKETING E GEST. IMPRESE"
F 19 22.67 15.57 24.01 62.25 75.9 "ECONOMIA AZIENDALE"
M 19 12.92 5.39 21.8 40.11 76.04 "COMMERCIO ESTERO"
F 19 12.04 14.27 13.83 40.13 76.05 "COMMERCIO ESTERO"
M 19 13.79 4.91 24.45 43.15 76.06 "ECONOMIA AZIENDALE"
M 19 20.91 4.01 16.03 40.95 76.38 "AMMINISTRAZIONE E CONTROLLO"
M 21 27.12 22.24 26.24 75.6 76.44 "ECONOMIA E FINANZA"
F 19 23.57 21.79 25.79 71.15 76.46 "COMMERCIO ESTERO"
F 19 23.57 21.79 25.79 71.15 76.46 "MARKETING E GEST. IMPRESE"
M 19 25.35 23.13 18.69 67.17 76.67 "STAT. E INFORMATICA GEST. IMPRESE"
M 19 25.35 23.13 18.69 67.17 76.67 "COMMERCIO ESTERO"
F 19 16.91 8.47 16.48 41.85 76.74 "COMMERCIO ESTERO"
F 19 12.47 21.35 20.03 53.84 76.74 "COMMERCIO ESTERO"
F 19 16.91 8.47 16.48 41.85 76.74 "AMMINISTRAZIONE E CONTROLLO"
F 19 21.8 20.92 26.24 68.96 76.78 "COMMERCIO ESTERO"
F 19 28.45 16.01 24.91 69.37 76.95 "COMMERCIO ESTERO"
F 19 25.35 21.36 22.69 69.4 76.96 "MARKETING E GEST. IMPRESE"
M 19 26.68 24.47 24.91 76.05 77.22 "ECONOMIA E FINANZA"
F 19 17.81 6.28 23.57 47.67 77.27 "COMMERCIO ESTERO"
M 19 29.79 19.15 24.47 73.4 77.36 "ECONOMIA E FINANZA"
M 44 15.12 16.04 22.69 53.85 77.54 "COMMERCIO ESTERO"
F 19 21.35 12.04 13.83 47.21 77.68 "COMMERCIO ESTERO"
M 19 14.69 15.15 17.36 47.2 77.68 ECONOMIA
M 19 10.25 15.15 21.8 47.2 77.68 ECONOMIA
F 19 16 17.35 18.68 52.03 77.81 "COMMERCIO ESTERO"
F 19 31.56 19.15 20.92 71.63 77.85 "COMMERCIO ESTERO"
F 19 20.89 15.56 18.69 55.15 77.86 "COMMERCIO ESTERO"
F 20 24 9.81 23.13 56.95 77.98 "CONSULENZA AZ.LE E GIURIDICA"
M 19 30.23 18.68 18.69 67.6 78.04 "STAT. E INFORMATICA GEST. IMPRESE"
M 19 26.67 16.92 24.01 67.6 78.04 "ECONOMIA E FINANZA"
M 19 26.68 20.03 28.45 75.16 78.06 "COMMERCIO ESTERO"
F 19 17.79 17.8 17.35 52.93 78.17 "COMMERCIO ESTERO"
M 20 31.56 26.68 5.33 63.57 78.23 "COMMERCIO ESTERO"
F 19 16.89 18.69 16.01 51.6 78.24 "ECONOMIA AZIENDALE"
F 19 21.8 15.6 19.15 56.55 78.42 "COMMERCIO ESTERO"
F 19 24.91 18.24 22.69 65.84 78.54 "COMMERCIO ESTERO"
M 19 20.03 20.92 24.91 65.85 78.54 "ECONOMIA E FINANZA"
F 19 11.13 24.91 19.59 55.63 78.65 "COMMERCIO ESTERO"
F 19 24.01 19.59 12.05 55.65 78.66 "ECONOMIA E FINANZA"
F 19 27.12 16.01 23.13 66.27 78.71 "COMMERCIO ESTERO"
F 19 13.8 16.92 16.48 47.2 78.88 "MARKETING E GEST. IMPRESE"
F 19 26.24 4.96 19.15 50.35 78.94 "ECONOMIA AZIENDALE"
F 19 20.45 19.15 21.8 61.4 79.16 "MARKETING E GEST. IMPRESE"
M 19 24.91 19.13 24.91 68.95 79.18 "COMMERCIO ESTERO"
F 33 26.24 5.83 20.92 52.99 79.2 "COMMERCIO ESTERO"
M 19 25.35 19.59 24.47 69.4 79.36 "MARKETING E GEST. IMPRESE"
F 19 17.35 18.24 20.47 56.05 79.42 "COMMERCIO ESTERO"
F 19 18.69 23.13 16.03 57.85 79.54 "MARKETING E GEST. IMPRESE"
F 19 20.47 19.57 19.59 59.63 79.65 "COMMERCIO ESTERO"
M 19 28.45 21.36 29.33 79.15 79.66 "MARKETING E GEST. IMPRESE"
F 19 30.23 23.57 25.35 79.15 79.66 "MARKETING E GEST. IMPRESE"
F 19 29.33 22.68 25.79 77.8 79.72 "MARKETING E GEST. IMPRESE"
M 21 10.68 26.68 24.01 61.37 79.75 "COMMERCIO ESTERO"
M 19 20.01 15.13 14.71 49.85 79.94 "CONSULENZA AZ.LE E GIURIDICA"
F 18 26.24 24.47 26.23 76.93 79.97 "COMMERCIO ESTERO"
M 19 28.01 17.37 31.56 76.95 79.98 "ECONOMIA E FINANZA"
F 20 24.01 18.69 22.24 64.95 79.98 "ECONOMIA E FINANZA"
M 19 20.89 10.67 24.89 56.45 80.18 "ECONOMIA AZIENDALE"
F 19 30.23 20.91 24.01 75.15 80.46 "ECONOMIA E FINANZA"
M 19 29.79 21.79 26.68 78.25 80.5 "STAT. E INFORMATICA GEST. IMPRESE"
M 19 29.79 21.79 26.68 78.25 80.5 "ECONOMIA E FINANZA"
F 19 27.12 22.69 24.01 73.83 80.53 "COMMERCIO ESTERO"
M 19 26.24 26.24 24.47 76.95 80.58 ECONOMIA
F 19 24 17.36 19.15 60.51 80.6 "COMMERCIO ESTERO"
F 19 17.8 20.47 20.91 59.17 80.67 "COMMERCIO ESTERO"
F 19 21.79 11.57 27.56 60.92 80.77 "COMMERCIO ESTERO"
M 19 28.01 26.24 26.24 80.49 80.8 "COMMERCIO ESTERO"
F 19 18.24 13.79 20.01 52.04 80.82 "COMMERCIO ESTERO"
F 20 19.57 16.04 19.59 55.2 80.88 "ECONOMIA E FINANZA"
M 19 19.59 8.95 24.47 53 81.2 "ECONOMIA GEST. SERV. TURISTICI"
F 19 28.45 24.91 29.79 83.15 81.26 "MARKETING E GEST. IMPRESE"
F 21 22.67 9.8 21.35 53.81 81.52 "COMMERCIO ESTERO"
F 20 12.92 16.92 24.01 53.85 81.54 "MARKETING E GEST. IMPRESE"
F 19 24.45 17.36 23.13 64.95 81.78 "ECONOMIA E FINANZA"
F 19 17.79 31.56 5.37 54.72 81.89 "COMMERCIO ESTERO"
M 20 27.12 23.57 23.57 74.27 81.91 "COMMERCIO ESTERO"
F 23 19.57 18.25 20.03 57.85 81.94 "CONSULENZA AZ.LE E GIURIDICA"
F 19 19.56 21.36 18.69 59.61 82.04 "COMMERCIO ESTERO"
F 19 26.68 18.25 22.24 67.17 82.07 "COMMERCIO ESTERO"
F 19 16.03 22.24 23.12 61.39 82.16 "COMMERCIO ESTERO"
M 19 15.59 17.37 22.69 55.65 82.26 "MARKETING E GEST. IMPRESE"
F 19 20.91 14.24 20.91 56.05 82.42 "COMMERCIO ESTERO"
F 19 20.91 14.24 20.91 56.05 82.42 "ECONOMIA E FINANZA"
F 19 24.45 12.91 20.03 57.39 82.96 "COMMERCIO ESTERO"
F 19 25.79 15.57 20.89 62.25 83.1 "ECONOMIA E FINANZA"
F 19 23.12 11.59 23.13 57.84 83.14 "COMMERCIO ESTERO"
M 19 19.57 23.13 22.69 65.4 83.16 "ECONOMIA E FINANZA"
F 22 26.68 17.37 24.47 68.52 83.21 "COMMERCIO ESTERO"
F 19 24.45 13.79 20.01 58.25 83.3 "COMMERCIO ESTERO"
F 19 24.45 13.79 20.01 58.25 83.3 ECONOMIA
F 19 21.36 10.72 26.24 58.32 83.33 "COMMERCIO ESTERO"
M 19 11.57 24.01 25.79 61.37 83.35 "COMMERCIO ESTERO"
F 19 21.35 19.13 18.25 58.73 83.49 "COMMERCIO ESTERO"
F 19 21.35 16.04 21.35 58.73 83.49 "COMMERCIO ESTERO"
F 19 22.69 16.47 19.57 58.73 83.49 "COMMERCIO ESTERO"
F 19 28.45 26.24 29.79 84.48 83.59 "COMMERCIO ESTERO"
F 20 29.79 17.35 21.35 68.48 83.79 "STAT. E INFORMATICA GEST. IMPRESE"
M 19 20.45 16.47 22.68 59.6 83.84 "ECONOMIA E FINANZA"
F 19 16.04 19.15 24.47 59.65 83.86 "ECONOMIA AZIENDALE"
F 19 17.8 23.13 24.47 65.4 84.96 "COMMERCIO ESTERO"
M 19 28.01 23.13 23.57 74.72 85.09 "COMMERCIO ESTERO"
F 19 20.89 24.01 18.24 63.15 85.26 "ECONOMIA AZIENDALE"
F 19 29.33 22.23 18.24 69.8 85.52 "MARKETING E GEST. IMPRESE"
F 19 24.47 20.92 24.47 69.85 85.54 "ECONOMIA AZIENDALE"
F 19 33.33 21.36 24.91 79.6 85.84 ECONOMIA
F 19 26.24 22.69 21.8 70.73 85.89 "COMMERCIO ESTERO"
F 19 25.35 22.69 16.91 64.95 85.98 "AMMINISTRAZIONE E CONTROLLO"
M 19 25.35 14.71 25.35 65.4 86.16 "MARKETING E GEST. IMPRESE"
F 19 15.13 26.68 24.01 65.83 86.33 "COMMERCIO ESTERO"
F 19 29.79 16.91 28.45 75.15 86.46 "CONSULENZA AZ.LE E GIURIDICA"
F 19 28.89 20.03 19.13 68.05 86.62 "ECONOMIA AZIENDALE"
F 19 22.69 26.24 17.81 66.75 86.7 "ECONOMIA GEST. SERV. TURISTICI"
F 19 28.89 23.13 25.35 77.37 86.75 "COMMERCIO ESTERO"
M 19 22.68 28.89 19.15 70.72 87.09 "COMMERCIO ESTERO"
F 19 26.24 26.68 22.69 75.61 87.24 "COMMERCIO ESTERO"
F 19 18.68 24.47 26.24 69.39 87.76 "COMMERCIO ESTERO"
F 19 21.8 26.24 24.47 72.51 87.8 "COMMERCIO ESTERO"
F 19 28.01 20.92 20.92 69.85 87.94 "ECONOMIA AZIENDALE"
M 19 22.69 20.92 26.24 69.85 87.94 "MARKETING E GEST. IMPRESE"
F 19 22.23 25.35 25.35 72.92 87.97 "COMMERCIO ESTERO"
F 19 17.37 26.24 29.79 73.4 88.16 "COMMERCIO ESTERO"
F 19 17.37 26.24 29.79 73.4 88.16 "AMMINISTRAZIONE E CONTROLLO"
F 19 23.57 24.47 24.01 72.05 88.82 "CONSULENZA AZ.LE E GIURIDICA"
M 19 21.36 30.67 26.24 78.27 88.91 "COMMERCIO ESTERO"
F 19 27.12 20.91 25.35 73.37 89.35 "COMMERCIO ESTERO"
F 19 29.79 21.8 26.68 78.27 89.51 "COMMERCIO ESTERO"
F 19 23.57 28.01 22.69 74.28 89.71 "COMMERCIO ESTERO"
F 18 28.01 24.47 21.8 74.28 89.71 "COMMERCIO ESTERO"
F 19 28.01 23.13 26.68 77.83 89.93 "COMMERCIO ESTERO"
F 19 27.12 21.8 26.68 75.6 90.24 "ECONOMIA E FINANZA"
M 18 26.68 24.47 24.91 76.05 90.42 "COMMERCIO ESTERO"
M 18 26.68 24.47 24.91 76.05 90.42 "CONSULENZA AZ.LE E GIURIDICA"
M 19 28.01 24.47 24.47 76.95 90.78 "ECONOMIA E FINANZA"
F 19 30.23 21.79 25.35 77.36 90.94 "COMMERCIO ESTERO"
M 20 27.12 26.67 27.56 81.35 91.34 "ECONOMIA AZIENDALE"
F 19 29.79 22.69 26.24 78.72 91.49 "COMMERCIO ESTERO"
F 19 31.56 26.68 20.92 79.16 91.66 "COMMERCIO ESTERO"
M 20 30.67 20.47 28.45 79.59 91.84 "COMMERCIO ESTERO"
F 19 30.23 24.47 24.91 79.6 91.84 "ECONOMIA AZIENDALE"
F 19 28.45 26.23 25.35 80.03 92.01 "COMMERCIO ESTERO"
F 19 24.47 26.68 31.56 82.71 93.08 "COMMERCIO ESTERO"
F 19 30.23 29.79 29.79 89.8 95.92 "ECONOMIA E FINANZA"
F 19 33.33 29.79 33.33 96.45 98.58 "STAT. E INFORMATICA GEST. IMPRESE"
F 19 33.33 29.79 33.33 96.45 98.58 "MARKETING E GEST. IMPRESE"
